key,dates
11600,10/1/2017
11600,1/22/2017
11600,5/27/2017
11600,9/30/2017
11600,11/18/2017
175404,6/11/2017
175404,10/7/2017
175404,11/12/2017
175404,11/26/2017
175404,12/10/2017
175404,1/2/2017
175404,1/16/2017
175404,2/25/2017
175404,5/7/2017
175404,5/21/2017
175404,5/29/2017
175404,7/4/2017
175404,7/23/2017
175404,8/6/2017
175404,9/2/2017
175404,9/16/2017
175404,9/30/2017
175404,10/14/2017
175404,10/28/2017
175404,10/29/2017
175404,11/4/2017
175404,11/5/2017
175404,11/11/2017
175404,12/2/2017
175404,12/23/2017
175404,12/25/2017
175404,12/30/2017
175404,12/31/2017
175404,1/28/2017
175404,12/16/2017
175404,7/29/2017
175404,3/25/2017
175404,6/25/2017
175404,7/15/2017
175404,7/16/2017
175404,7/22/2017
175404,9/24/2017
175404,10/8/2017
175404,11/19/2017
175404,11/23/2017
175404,11/25/2017
175404,12/9/2017
175404,12/24/2017
175404,3/26/2017
175404,2/20/2017
175404,12/17/2017
175404,8/12/2017
175404,1/14/2017
